id,City,txn_date,card_type,expense_type,Gender,Amount
9786,Delhi,05-10-2013,Silver,Food,F,22774
10211,Delhi,05-10-2013,Silver,Grocery,F,158154
11045,Greater Mumbai,05-10-2013,Signature,Fuel,M,130428
11158,Ahmedabad,05-10-2013,Platinum,Food,F,44134
12743,Bengaluru,05-10-2013,Gold,Grocery,F,171087
14536,Hansi,05-10-2013,Gold,Grocery,M,79974
15871,Ramnagar,05-10-2013,Gold,Entertainment,M,167400
15968,Lingsugur,05-10-2013,Platinum,Grocery,F,104254
16227,Merta City,05-10-2013,Signature,Grocery,F,160358
17290,Soron,05-10-2013,Gold,Food,F,253631
17821,Hindupur,05-10-2013,Platinum,Entertainment,M,235393
18778,Mangrol,05-10-2013,Silver,Bills,F,85242
19520,Ramdurg,05-10-2013,Silver,Grocery,F,296064
19698,Kadapa,05-10-2013,Platinum,Entertainment,M,281053
19744,Ludhiana,05-10-2013,Silver,Food,M,288687
20624,Pune,05-10-2013,Silver,Food,F,38978
20646,Jaipur,05-10-2013,Platinum,Bills,M,246855
20801,Pune,05-10-2013,Silver,Grocery,F,22267
20868,Pune,05-10-2013,Gold,Food,M,236710
20904,Chennai,05-10-2013,Gold,Bills,F,32874
20937,Kanpur,05-10-2013,Gold,Bills,F,19658
21034,Jaipur,05-10-2013,Silver,Bills,M,217527
21279,Chennai,05-10-2013,Signature,Fuel,F,255850
21569,Lucknow,05-10-2013,Gold,Entertainment,M,131148
22352,Surat,05-10-2013,Silver,Entertainment,M,81542
23620,Lucknow,05-10-2013,Signature,Fuel,F,81115
23692,Pune,05-10-2013,Silver,Grocery,M,254534
23974,Jaipur,05-10-2013,Signature,Bills,F,92598
24031,Surat,05-10-2013,Platinum,Bills,F,8478
24094,Surat,05-10-2013,Signature,Grocery,F,121025
24753,Jaipur,05-10-2013,Silver,Food,M,54159
25314,Chennai,05-10-2013,Silver,Travel,M,279582
25837,Kanpur,05-10-2013,Silver,Travel,F,264641
166,Bengaluru,06-10-2013,Signature,Bills,F,677654
747,Bengaluru,06-10-2013,Gold,Food,F,41266
889,Greater Mumbai,06-10-2013,Silver,Fuel,F,66083
1258,Ahmedabad,06-10-2013,Signature,Food,F,272214
2103,Ahmedabad,06-10-2013,Gold,Fuel,M,265492
2127,Bengaluru,06-10-2013,Signature,Fuel,F,149848
3123,Bengaluru,06-10-2013,Silver,Entertainment,F,153572
3167,Delhi,06-10-2013,Platinum,Grocery,F,23276
5303,Greater Mumbai,06-10-2013,Silver,Entertainment,M,223491
5445,Delhi,06-10-2013,Signature,Food,F,156519
6649,Delhi,06-10-2013,Platinum,Bills,M,142390
7104,Greater Mumbai,06-10-2013,Platinum,Bills,M,5557
7302,Bengaluru,06-10-2013,Platinum,Food,M,264084
7822,Ahmedabad,06-10-2013,Silver,Entertainment,F,1938
9428,Delhi,06-10-2013,Signature,Fuel,F,14522
9573,Greater Mumbai,06-10-2013,Silver,Food,M,280604
10330,Greater Mumbai,06-10-2013,Signature,Entertainment,F,283090
11564,Ahmedabad,06-10-2013,Gold,Food,M,125804
11736,Delhi,06-10-2013,Gold,Grocery,F,62430
12299,Bengaluru,06-10-2013,Platinum,Grocery,F,172280
12383,Ahmedabad,06-10-2013,Silver,Food,F,34627
13831,Delhi,06-10-2013,Gold,Food,M,189094
16105,Pilkhuwa,06-10-2013,Signature,Entertainment,M,148833
16167,Pune,06-10-2013,Signature,Fuel,F,171445
16444,Kharagpur,06-10-2013,Gold,Grocery,F,215506
16689,Sawai Madhopur,06-10-2013,Gold,Bills,F,225186
17336,Pavagada,06-10-2013,Silver,Food,F,33864
18040,Jhargram,06-10-2013,Silver,Bills,M,285170
18061,Kendrapara,06-10-2013,Signature,Food,F,33470
18094,Utraula,06-10-2013,Signature,Bills,F,142712
19049,Rampur,06-10-2013,Platinum,Fuel,M,141559
19060,Tiruchirappalli,06-10-2013,Silver,Fuel,M,156150
20341,Kolkata,06-10-2013,Silver,Fuel,M,144756
20457,Lucknow,06-10-2013,Gold,Entertainment,F,71412
21249,Jaipur,06-10-2013,Signature,Bills,F,63141
21486,Pune,06-10-2013,Platinum,Grocery,F,245189
21673,Chennai,06-10-2013,Platinum,Food,F,37449
22056,Kanpur,06-10-2013,Signature,Food,M,271103
23356,Pune,06-10-2013,Silver,Bills,F,290818
24088,Kolkata,06-10-2013,Signature,Entertainment,M,105294
24152,Hyderabad,06-10-2013,Silver,Bills,M,130057
25202,Surat,06-10-2013,Gold,Food,F,175081
25223,Lucknow,06-10-2013,Silver,Food,M,212365
25855,Hyderabad,06-10-2013,Gold,Travel,F,83660
119,Delhi,07-10-2013,Platinum,Bills,F,897079
2208,Bengaluru,07-10-2013,Silver,Fuel,F,224526
2444,Bengaluru,07-10-2013,Platinum,Fuel,M,200833
2556,Bengaluru,07-10-2013,Silver,Fuel,M,39434
2842,Greater Mumbai,07-10-2013,Platinum,Bills,F,212803
2901,Bengaluru,07-10-2013,Gold,Bills,F,186328
3982,Ahmedabad,07-10-2013,Silver,Food,F,85887
4334,Ahmedabad,07-10-2013,Platinum,Food,F,130267
5495,Bengaluru,07-10-2013,Gold,Bills,M,152070
6491,Ahmedabad,07-10-2013,Platinum,Grocery,F,127358
7041,Delhi,07-10-2013,Gold,Bills,F,94821
7845,Greater Mumbai,07-10-2013,Platinum,Food,M,242693
8346,Delhi,07-10-2013,Gold,Grocery,F,100142
8740,Greater Mumbai,07-10-2013,Signature,Food,F,136426
8825,Delhi,07-10-2013,Signature,Grocery,F,241679
9114,Greater Mumbai,07-10-2013,Platinum,Fuel,F,126821
9558,Bengaluru,07-10-2013,Signature,Food,F,14506
10127,Bengaluru,07-10-2013,Gold,Bills,F,53126
10638,Ahmedabad,07-10-2013,Platinum,Bills,M,56262
10921,Bengaluru,07-10-2013,Silver,Grocery,M,184766
12355,Ahmedabad,07-10-2013,Platinum,Food,M,25685
13580,Bengaluru,07-10-2013,Gold,Bills,M,47228
14519,Nashik,07-10-2013,Gold,Bills,M,114458
14662,Jabalpur,07-10-2013,Signature,Entertainment,F,174318
15203,Makrana,07-10-2013,Signature,Fuel,F,116394
15465,Sabalgarh,07-10-2013,Signature,Grocery,M,104886
15684,Satana,07-10-2013,Platinum,Grocery,M,264412
15741,Akola,07-10-2013,Signature,Grocery,M,161255
15834,Alwar,07-10-2013,Signature,Food,F,285142
16273,Kottayam,07-10-2013,Platinum,Food,M,210162
16372,Tumsar,07-10-2013,Gold,Grocery,M,63818
16424,Tiruvethipuram,07-10-2013,Signature,Grocery,M,275284
16798,Tharad,07-10-2013,Gold,Bills,M,118136
17815,Mhow Cantonment,07-10-2013,Signature,Bills,F,124806
19075,Roorkee,07-10-2013,Signature,Fuel,M,113589
19078,Jind,07-10-2013,Platinum,Food,M,70125
19178,Malegaon,07-10-2013,Signature,Entertainment,F,288672
19468,Sillod,07-10-2013,Silver,Food,M,166868
19933,Haldwani-cum-Kathgodam,07-10-2013,Silver,Food,M,212679
20011,Kanpur,07-10-2013,Platinum,Food,F,47482
20682,Surat,07-10-2013,Silver,Food,M,70282
21267,Hyderabad,07-10-2013,Gold,Fuel,F,103991
22072,Pune,07-10-2013,Silver,Grocery,F,206730
22535,Kanpur,07-10-2013,Platinum,Grocery,F,222044
24437,Surat,07-10-2013,Signature,Fuel,F,130714
24499,Pune,07-10-2013,Silver,Entertainment,M,112985
24671,Surat,07-10-2013,Platinum,Fuel,M,97550
24867,Kolkata,07-10-2013,Platinum,Bills,F,181470
25091,Chennai,07-10-2013,Gold,Food,M,170470
25805,Hyderabad,07-10-2013,Platinum,Travel,M,33530
58,Delhi,08-10-2013,Platinum,Bills,F,900101
410,Delhi,08-10-2013,Platinum,Bills,F,129169
1656,Ahmedabad,08-10-2013,Signature,Fuel,F,57789
2196,Delhi,08-10-2013,Platinum,Fuel,M,293383
2442,Ahmedabad,08-10-2013,Gold,Fuel,M,60020
2585,Greater Mumbai,08-10-2013,Silver,Fuel,F,94545
3000,Bengaluru,08-10-2013,Gold,Fuel,M,156732
4513,Bengaluru,08-10-2013,Signature,Bills,F,76267
5146,Delhi,08-10-2013,Signature,Bills,F,117144
5860,Delhi,08-10-2013,Platinum,Bills,F,136828
6037,Bengaluru,08-10-2013,Platinum,Fuel,M,203352
6947,Bengaluru,08-10-2013,Gold,Grocery,F,222744
7127,Bengaluru,08-10-2013,Signature,Food,F,99656
7988,Bengaluru,08-10-2013,Signature,Food,F,9478
8730,Bengaluru,08-10-2013,Gold,Bills,M,18782
10151,Bengaluru,08-10-2013,Gold,Fuel,M,118249
11084,Bengaluru,08-10-2013,Platinum,Food,M,100379
11441,Delhi,08-10-2013,Silver,Bills,F,106902
11838,Greater Mumbai,08-10-2013,Gold,Entertainment,F,188378
12637,Ahmedabad,08-10-2013,Platinum,Entertainment,M,122753
12925,Ahmedabad,08-10-2013,Gold,Food,F,87268
13021,Delhi,08-10-2013,Gold,Entertainment,F,28898
14545,Talaja,08-10-2013,Gold,Fuel,F,33623
14883,Ramnagar,08-10-2013,Platinum,Bills,M,121303
15102,Kendujhar,08-10-2013,Silver,Grocery,F,14807
15715,Jorhat,08-10-2013,Gold,Entertainment,F,224801
15744,Sathyamangalam,08-10-2013,Signature,Fuel,F,79715
16015,Raisen,08-10-2013,Signature,Grocery,F,78480
16222,Sibsagar,08-10-2013,Signature,Grocery,F,43741
16237,Kancheepuram,08-10-2013,Gold,Grocery,M,123713
17839,Nellore,08-10-2013,Gold,Grocery,F,198455
18112,Jagdalpur,08-10-2013,Signature,Food,F,261114
19742,Sailu,08-10-2013,Platinum,Fuel,F,273936
21150,Lucknow,08-10-2013,Silver,Fuel,F,32046
21208,Kanpur,08-10-2013,Gold,Entertainment,F,220014
21629,Kolkata,08-10-2013,Silver,Food,F,43013
21862,Pune,08-10-2013,Silver,Entertainment,F,221118
23418,Surat,08-10-2013,Signature,Bills,F,279967
23724,Chennai,08-10-2013,Platinum,Bills,F,235249
25025,Kanpur,08-10-2013,Gold,Food,F,18621
867,Delhi,09-10-2013,Silver,Fuel,F,39439
1157,Delhi,09-10-2013,Silver,Grocery,F,162859
2048,Ahmedabad,09-10-2013,Gold,Fuel,M,112553
3437,Greater Mumbai,09-10-2013,Signature,Food,M,54958
3497,Greater Mumbai,09-10-2013,Gold,Fuel,M,209565
4009,Ahmedabad,09-10-2013,Silver,Grocery,M,64793
4474,Greater Mumbai,09-10-2013,Platinum,Fuel,F,278582
4505,Delhi,09-10-2013,Gold,Fuel,F,299642
4655,Greater Mumbai,09-10-2013,Signature,Grocery,M,37495
4751,Ahmedabad,09-10-2013,Silver,Fuel,M,27626
5031,Ahmedabad,09-10-2013,Signature,Food,F,20408
5323,Delhi,09-10-2013,Silver,Entertainment,F,70818
5443,Delhi,09-10-2013,Gold,Food,F,295917
6792,Bengaluru,09-10-2013,Silver,Entertainment,F,253206
7254,Bengaluru,09-10-2013,Silver,Grocery,M,52473
7285,Delhi,09-10-2013,Platinum,Food,M,218957
7450,Greater Mumbai,09-10-2013,Gold,Bills,M,226017
7686,Ahmedabad,09-10-2013,Signature,Grocery,M,93385
8535,Bengaluru,09-10-2013,Platinum,Grocery,F,28961
8536,Delhi,09-10-2013,Signature,Food,M,173889
9459,Ahmedabad,09-10-2013,Silver,Bills,M,293423
9648,Delhi,09-10-2013,Gold,Food,M,285214
9722,Bengaluru,09-10-2013,Gold,Food,F,190157
10385,Delhi,09-10-2013,Platinum,Food,M,273629
11214,Ahmedabad,09-10-2013,Platinum,Entertainment,F,27032
11796,Bengaluru,09-10-2013,Signature,Entertainment,F,157165
11820,Bengaluru,09-10-2013,Gold,Food,F,216547
12356,Bengaluru,09-10-2013,Platinum,Fuel,F,158261
12374,Greater Mumbai,09-10-2013,Silver,Entertainment,M,264150
13218,Bengaluru,09-10-2013,Gold,Bills,M,242790
13311,Ahmedabad,09-10-2013,Signature,Food,F,28640
14188,Pratapgarh,09-10-2013,Gold,Entertainment,F,83858
14728,Patan,09-10-2013,Silver,Fuel,F,188973
14733,Wadi,09-10-2013,Signature,Food,M,248321
15474,Risod,09-10-2013,Signature,Food,F,257838
15657,Maihar,09-10-2013,Signature,Grocery,F,115113
16027,Terdal,09-10-2013,Platinum,Grocery,F,30602
16059,Bhilai Nagar,09-10-2013,Platinum,Entertainment,F,40990
16823,Lakheri,09-10-2013,Silver,Food,F,232797
16882,Rewa,09-10-2013,Gold,Grocery,F,189221
16973,Yamunanagar,09-10-2013,Signature,Food,M,24644
17720,Gurgaon,09-10-2013,Silver,Fuel,M,290387
18834,Savarkundla,09-10-2013,Platinum,Food,M,150874
18887,Nehtaur,09-10-2013,Signature,Grocery,F,182728
19321,Valsad,09-10-2013,Silver,Food,M,118224
19404,Thangadh,09-10-2013,Platinum,Fuel,M,108754
19997,Chennai,09-10-2013,Platinum,Food,M,1175
20853,Jaipur,09-10-2013,Gold,Grocery,F,48891
21172,Jaipur,09-10-2013,Signature,Fuel,F,280252
23136,Surat,09-10-2013,Gold,Bills,F,24746
23193,Hyderabad,09-10-2013,Signature,Fuel,F,118588
23337,Hyderabad,09-10-2013,Silver,Food,M,174704
23622,Jaipur,09-10-2013,Signature,Food,M,289396
23803,Lucknow,09-10-2013,Silver,Entertainment,F,35817
24049,Chennai,09-10-2013,Platinum,Grocery,M,220450
24683,Kolkata,09-10-2013,Gold,Entertainment,F,201943
24704,Pune,09-10-2013,Signature,Grocery,M,239906
26046,Hyderabad,09-10-2013,Signature,Travel,M,198903
320,Delhi,10-10-2013,Signature,Bills,F,360009
781,Ahmedabad,10-10-2013,Silver,Food,F,74794
2036,Delhi,10-10-2013,Signature,Fuel,M,64589
3323,Ahmedabad,10-10-2013,Signature,Food,F,93503
4221,Greater Mumbai,10-10-2013,Silver,Fuel,F,244726
4348,Delhi,10-10-2013,Signature,Fuel,F,19918
4485,Delhi,10-10-2013,Platinum,Entertainment,M,259740
5504,Bengaluru,10-10-2013,Silver,Grocery,M,291694
5706,Delhi,10-10-2013,Platinum,Fuel,F,240018
6091,Greater Mumbai,10-10-2013,Signature,Food,M,268577
6265,Delhi,10-10-2013,Silver,Entertainment,M,273894
7519,Greater Mumbai,10-10-2013,Signature,Food,M,253730
9120,Bengaluru,10-10-2013,Platinum,Food,M,95964
9645,Bengaluru,10-10-2013,Signature,Fuel,F,134137
10061,Delhi,10-10-2013,Platinum,Bills,F,66927
11492,Ahmedabad,10-10-2013,Signature,Food,F,265844
11974,Ahmedabad,10-10-2013,Silver,Entertainment,F,79847
12277,Greater Mumbai,10-10-2013,Silver,Grocery,F,90839
12903,Greater Mumbai,10-10-2013,Signature,Grocery,F,5816
13743,Delhi,10-10-2013,Platinum,Food,M,3092
13879,Greater Mumbai,10-10-2013,Gold,Bills,F,253796
14958,Modinagar,10-10-2013,Platinum,Entertainment,M,285464
15330,Bheemunipatnam,10-10-2013,Platinum,Grocery,M,297116
15507,Malegaon,10-10-2013,Platinum,Bills,M,292535
15590,Utraula,10-10-2013,Gold,Bills,M,13914
16782,Akola,10-10-2013,Platinum,Bills,F,154678
16876,Adoor,10-10-2013,Platinum,Food,M,11990
17594,Chittoor,10-10-2013,Silver,Grocery,F,72006
17903,Baramula,10-10-2013,Platinum,Bills,F,40176
18074,Udhagamandalam,10-10-2013,Platinum,Bills,M,291415
18314,Rawatsar,10-10-2013,Gold,Fuel,F,85841
18983,Kothagudem,10-10-2013,Gold,Bills,M,163997
21899,Chennai,10-10-2013,Gold,Food,F,226400
22540,Hyderabad,10-10-2013,Signature,Entertainment,F,80580
22811,Kanpur,10-10-2013,Silver,Entertainment,M,184786
23397,Pune,10-10-2013,Silver,Bills,M,17279
23405,Hyderabad,10-10-2013,Platinum,Bills,F,92598
24009,Kolkata,10-10-2013,Signature,Entertainment,M,110799
24213,Chennai,10-10-2013,Signature,Grocery,F,191084
24750,Kolkata,10-10-2013,Signature,Food,F,127034
24840,Kolkata,10-10-2013,Platinum,Fuel,F,137465
25610,Jaipur,10-10-2013,Platinum,Travel,M,60698
26004,Hyderabad,10-10-2013,Signature,Travel,F,21777
23,Ahmedabad,11-10-2013,Gold,Bills,F,668568
268,Delhi,11-10-2013,Gold,Bills,F,393651
854,Ahmedabad,11-10-2013,Silver,Bills,F,131578
3028,Greater Mumbai,11-10-2013,Platinum,Entertainment,M,122576
3412,Bengaluru,11-10-2013,Signature,Fuel,M,48441
3514,Ahmedabad,11-10-2013,Gold,Food,M,186779
4242,Delhi,11-10-2013,Gold,Food,F,49153
4765,Bengaluru,11-10-2013,Gold,Grocery,M,23448
5057,Bengaluru,11-10-2013,Signature,Bills,F,182330
5652,Delhi,11-10-2013,Platinum,Entertainment,M,44863
6354,Greater Mumbai,11-10-2013,Platinum,Grocery,F,237867
7327,Greater Mumbai,11-10-2013,Gold,Fuel,M,212080
7400,Bengaluru,11-10-2013,Gold,Entertainment,M,20417
7480,Ahmedabad,11-10-2013,Silver,Entertainment,F,39631
7521,Greater Mumbai,11-10-2013,Gold,Fuel,M,69877
7542,Greater Mumbai,11-10-2013,Signature,Bills,F,50617
7685,Greater Mumbai,11-10-2013,Platinum,Food,M,151924
9798,Delhi,11-10-2013,Signature,Grocery,M,127082
10714,Bengaluru,11-10-2013,Platinum,Bills,M,201094
11555,Bengaluru,11-10-2013,Gold,Fuel,F,162498
12412,Delhi,11-10-2013,Gold,Entertainment,M,108085
13247,Greater Mumbai,11-10-2013,Silver,Grocery,M,271912
13525,Greater Mumbai,11-10-2013,Gold,Grocery,M,142725
13978,Greater Mumbai,11-10-2013,Platinum,Fuel,F,231743
14115,Maner,11-10-2013,Signature,Entertainment,F,91099
14283,Nahan,11-10-2013,Gold,Food,M,248730
15129,Nehtaur,11-10-2013,Gold,Entertainment,F,106642
15662,Salur,11-10-2013,Signature,Grocery,F,222490
15724,Surat,11-10-2013,Gold,Bills,M,24993
16033,Malegaon,11-10-2013,Gold,Fuel,F,154758
16323,Kaithal,11-10-2013,Platinum,Entertainment,F,229300
16363,Kharar,11-10-2013,Platinum,Fuel,M,77015
16780,Tuljapur,11-10-2013,Silver,Entertainment,M,213787
16929,Sundargarh,11-10-2013,Platinum,Entertainment,M,113322
17841,Asansol,11-10-2013,Signature,Fuel,F,53709
18062,Dharmavaram,11-10-2013,Signature,Bills,F,125319
18360,Maihar,11-10-2013,Gold,Grocery,F,137766
18431,Supaul,11-10-2013,Signature,Food,M,272044
18740,Palghar,11-10-2013,Gold,Food,M,269335
20052,Pune,11-10-2013,Gold,Food,M,192824
20461,Surat,11-10-2013,Gold,Fuel,F,181899
20487,Pune,11-10-2013,Platinum,Food,F,146184
20558,Kolkata,11-10-2013,Platinum,Bills,M,223239
23203,Surat,11-10-2013,Platinum,Food,F,296069
23611,Hyderabad,11-10-2013,Gold,Entertainment,F,215803
23725,Hyderabad,11-10-2013,Silver,Fuel,M,18209
23771,Pune,11-10-2013,Signature,Fuel,F,130409
23773,Hyderabad,11-10-2013,Silver,Bills,M,294416
23836,Kolkata,11-10-2013,Gold,Fuel,F,208003
24886,Surat,11-10-2013,Platinum,Food,F,216281
25131,Lucknow,11-10-2013,Signature,Entertainment,M,176447
25136,Lucknow,11-10-2013,Platinum,Fuel,F,129534
25735,Jaipur,11-10-2013,Signature,Travel,F,208777
25872,Chennai,11-10-2013,Signature,Travel,M,50314
25928,Kolkata,11-10-2013,Silver,Travel,F,130957
1044,Greater Mumbai,12-10-2013,Silver,Bills,F,33156
1182,Greater Mumbai,12-10-2013,Silver,Grocery,F,268559
1588,Ahmedabad,12-10-2013,Signature,Food,M,123647
2028,Bengaluru,12-10-2013,Silver,Fuel,F,259266
2869,Greater Mumbai,12-10-2013,Platinum,Grocery,M,26699
3151,Bengaluru,12-10-2013,Silver,Grocery,M,2114
4106,Ahmedabad,12-10-2013,Signature,Fuel,F,196562
4806,Bengaluru,12-10-2013,Platinum,Entertainment,M,193522
4821,Greater Mumbai,12-10-2013,Signature,Entertainment,F,37103
5188,Bengaluru,12-10-2013,Silver,Fuel,M,260855
5436,Greater Mumbai,12-10-2013,Gold,Food,F,45191
5733,Ahmedabad,12-10-2013,Silver,Grocery,F,252655
6946,Ahmedabad,12-10-2013,Gold,Fuel,F,148387
8141,Ahmedabad,12-10-2013,Silver,Fuel,F,173381
9129,Bengaluru,12-10-2013,Silver,Bills,F,143847
9405,Greater Mumbai,12-10-2013,Gold,Grocery,M,131410
9406,Greater Mumbai,12-10-2013,Signature,Entertainment,F,219848
9655,Ahmedabad,12-10-2013,Signature,Fuel,F,186881
9956,Bengaluru,12-10-2013,Signature,Food,M,234001
10136,Delhi,12-10-2013,Gold,Fuel,M,241870
11690,Ahmedabad,12-10-2013,Signature,Entertainment,F,185271
12272,Bengaluru,12-10-2013,Signature,Fuel,M,26752
12711,Bengaluru,12-10-2013,Signature,Grocery,M,86395
12804,Greater Mumbai,12-10-2013,Signature,Grocery,F,225240
13031,Delhi,12-10-2013,Gold,Fuel,M,253012
14017,Muzaffarpur,12-10-2013,Silver,Grocery,M,285635
14089,Raigarh,12-10-2013,Silver,Grocery,M,278954
14527,Sattenapalle,12-10-2013,Silver,Grocery,M,62725
15651,Oddanchatram,12-10-2013,Silver,Food,F,203463
15955,Nasirabad,12-10-2013,Signature,Fuel,F,1207
16763,Lunglei,12-10-2013,Platinum,Entertainment,F,117084
16776,Yavatmal,12-10-2013,Signature,Food,M,129865
17250,Mokokchung,12-10-2013,Platinum,Fuel,F,167197
17876,Sikandra Rao,12-10-2013,Silver,Fuel,F,238909
18720,Ujhani,12-10-2013,Signature,Food,F,188360
19384,Tarakeswar,12-10-2013,Silver,Food,M,15456
19507,Rohtak,12-10-2013,Platinum,Entertainment,M,28531
19684,Usilampatti,12-10-2013,Silver,Fuel,F,283879
20602,Hyderabad,12-10-2013,Signature,Entertainment,F,238375
20655,Pune,12-10-2013,Platinum,Grocery,F,105371
21109,Chennai,12-10-2013,Gold,Fuel,M,283417
21976,Chennai,12-10-2013,Silver,Grocery,F,248401
23296,Jaipur,12-10-2013,Gold,Bills,M,171529
23429,Jaipur,12-10-2013,Gold,Entertainment,F,190952
23489,Kanpur,12-10-2013,Silver,Entertainment,F,109918
24964,Surat,12-10-2013,Platinum,Food,M,284629
25232,Hyderabad,12-10-2013,Platinum,Bills,M,126949
25560,Jaipur,12-10-2013,Platinum,Travel,M,200501
25581,Surat,12-10-2013,Platinum,Travel,F,160939
25806,Hyderabad,12-10-2013,Signature,Travel,F,111294
25995,Chennai,12-10-2013,Silver,Travel,F,172443
103,Bengaluru,13-10-2013,Signature,Bills,F,973026
219,Greater Mumbai,13-10-2013,Silver,Bills,F,738456
648,Ahmedabad,13-10-2013,Signature,Food,F,155529
1095,Delhi,13-10-2013,Silver,Entertainment,F,21500
1576,Delhi,13-10-2013,Silver,Food,F,216522
1647,Ahmedabad,13-10-2013,Gold,Bills,F,238211
2328,Bengaluru,13-10-2013,Gold,Fuel,M,50515
2550,Bengaluru,13-10-2013,Silver,Fuel,M,202490
3304,Delhi,13-10-2013,Platinum,Bills,M,214795
3390,Delhi,13-10-2013,Silver,Bills,F,138597
3399,Bengaluru,13-10-2013,Platinum,Grocery,F,178349
3508,Bengaluru,13-10-2013,Gold,Fuel,M,66376
4271,Bengaluru,13-10-2013,Silver,Bills,F,80459
4675,Ahmedabad,13-10-2013,Platinum,Bills,M,298523
5988,Ahmedabad,13-10-2013,Platinum,Bills,F,31352
